platform,workload,policy,run,energy_mj,delay_ms,frame_drop_pct,jitter_ms
phone,AI Inference,Baseline,8,2254.0,27.8,,
phone,AI Inference,Baseline,9,2070.3,29.4,,
phone,AI Inference,Baseline,10,2029.7,27.7,,
phone,AI Inference,Fixed,1,1789.2,42.5,,
phone,AI Inference,Fixed,2,1848.2,44.4,,
phone,AI Inference,Fixed,3,1772.5,46.0,,
phone,AI Inference,Fixed,4,1769.6,47.9,,
phone,AI Inference,Fixed,5,1829.4,43.7,,
phone,AI Inference,Fixed,6,1663.7,41.9,,
phone,AI Inference,Fixed,7,1882.4,44.7,,
phone,AI Inference,Fixed,8,1783.6,48.5,,
phone,AI Inference,Fixed,9,1711.4,43.5,,
phone,AI Inference,Fixed,10,1769.9,46.1,,
phone,AI Inference,LR,1,1606.2,40.7,,
phone,AI Inference,LR,2,1544.1,43.5,,
phone,AI Inference,LR,3,1703.2,41.0,,
phone,AI Inference,LR,4,1660.8,39.3,,
phone,AI Inference,LR,5,1618.9,44.9,,
phone,AI Inference,LR,6,1659.0,46.9,,
phone,AI Inference,LR,7,1598.0,43.2,,
phone,AI Inference,LR,8,1637.1,43.2,,
phone,AI Inference,LR,9,1649.5,40.8,,
phone,AI Inference,LR,10,1592.7,48.4,,
phone,AI Inference,UATimer,1,1601.0,36.5,,
phone,AI Inference,UATimer,2,1564.3,42.0,,
phone,AI Inference,UATimer,3,1573.9,43.4,,
phone,AI Inference,UATimer,4,1670.4,40.3,,
phone,AI Inference,UATimer,5,1575.7,38.6,,
phone,AI Inference,UATimer,6,1561.0,37.6,,
phone,AI Inference,UATimer,7,1683.4,43.8,,
phone,AI Inference,UATimer,8,1525.3,38.2,,
phone,AI Inference,UATimer,9,1492.4,38.6,,
phone,AI Inference,UATimer,10,1406.4,38.3,,
phone,AR/VR Gaming,Baseline,1,2629.7,19.7,2.71,2.85
phone,AR/VR Gaming,Baseline,2,2676.1,20.2,2.4,3.77
phone,AR/VR Gaming,Baseline,3,2467.6,18.8,2.55,2.99
phone,AR/VR Gaming,Baseline,4,2606.6,19.1,2.7,3.26
phone,AR/VR Gaming,Baseline,5,2433.2,20.2,2.29,3.7
phone,AR/VR Gaming,Baseline,6,2429.6,19.5,2.23,2.9
phone,AR/VR Gaming,Baseline,7,2499.4,20.8,2.35,2.94
phone,AR/VR Gaming,Baseline,8,2358.4,19.2,3.19,3.31
phone,AR/VR Gaming,Baseline,9,2421.9,18.7,2.26,2.99
phone,AR/VR Gaming,Baseline,10,2503.5,19.3,2.18,3.43
phone,AR/VR Gaming,Fixed,1,2087.0,31.4,3.13,3.31
phone,AR/VR Gaming,Fixed,2,1809.2,32.2,2.86,3.15
phone,AR/VR Gaming,Fixed,3,1997.5,33.2,2.83,3.0
phone,AR/VR Gaming,Fixed,4,2102.5,33.2,2.89,3.7
phone,AR/VR Gaming,Fixed,5,2026.1,32.5,2.8,3.79
phone,AR/VR Gaming,Fixed,6,2148.7,33.0,3.38,2.18
phone,AR/VR Gaming,Fixed,7,2071.4,32.0,3.15,3.28
phone,AR/VR Gaming,Fixed,8,2054.5,32.7,3.12,3.34
phone,AR/VR Gaming,Fixed,9,2150.8,30.2,3.53,3.56
phone,AR/VR Gaming,Fixed,10,1984.0,31.5,2.91,3.74
phone,AR/VR Gaming,LR,1,1901.1,29.2,1.6,2.78
phone,AR/VR Gaming,LR,2,1946.8,29.8,1.88,2.6
phone,AR/VR Gaming,LR,3,1880.1,29.6,1.85,2.29
phone,AR/VR Gaming,LR,4,1923.3,29.7,1.86,2.61
phone,AR/VR Gaming,LR,5,1899.0,28.4,2.01,2.24
phone,AR/VR Gaming,LR,6,1797.1,30.4,2.06,2.78
phone,AR/VR Gaming,LR,7,1856.4,27.9,1.77,2.69
phone,AR/VR Gaming,LR,8,2001.8,30.9,1.52,3.25
phone,AR/VR Gaming,LR,9,1845.4,28.7,2.07,2.69
phone,AR/VR Gaming,LR,10,1847.4,30.3,1.95,2.97
phone,AR/VR Gaming,UATimer,1,1724.6,31.9,0.55,1.15
phone,AR/VR Gaming,UATimer,2,1765.2,27.6,0.51,1.12
phone,AR/VR Gaming,UATimer,3,1769.2,30.2,0.52,1.15
phone,AR/VR Gaming,UATimer,4,1878.6,31.0,0.45,1.13
phone,AR/VR Gaming,UATimer,5,1893.8,30.0,0.51,1.34
phone,AR/VR Gaming,UATimer,6,1745.6,26.9,0.46,1.21
phone,AR/VR Gaming,UATimer,7,1766.9,28.3,0.45,1.13
phone,AR/VR Gaming,UATimer,8,1751.7,29.5,0.54,1.14
phone,AR/VR Gaming,UATimer,9,1809.9,28.2,0.53,1.21
phone,AR/VR Gaming,UATimer,10,1941.4,27.4,0.52,1.25
iot_node,IoT Sensing,Baseline,1,394.2,12.4,,
iot_node,IoT Sensing,Baseline,2,377.0,13.3,,
iot_node,IoT Sensing,Baseline,3,378.5,12.6,,
iot_node,IoT Sensing,Baseline,4,382.1,12.7,,
iot_node,IoT Sensing,Baseline,5,393.8,12.1,,
iot_node,IoT Sensing,Baseline,6,400.9,12.7,,
iot_node,IoT Sensing,Baseline,7,394.9,10.2,,
iot_node,IoT Sensing,Baseline,8,387.8,12.1,,
iot_node,IoT Sensing,Baseline,9,393.0,12.5,,
iot_node,IoT Sensing,Baseline,10,416.2,11.9,,
iot_node,IoT Sensing,Fixed,1,308.5,20.5,,
iot_node,IoT Sensing,Fixed,2,342.2,18.9,,
iot_node,IoT Sensing,Fixed,3,355.7,18.9,,
iot_node,IoT Sensing,Fixed,4,313.1,19.1,,
iot_node,IoT Sensing,Fixed,5,342.1,18.3,,
iot_node,IoT Sensing,Fixed,6,353.6,18.3,,
iot_node,IoT Sensing,Fixed,7,340.5,19.7,,
iot_node,IoT Sensing,Fixed,8,326.0,20.2,,
iot_node,IoT Sensing,Fixed,9,308.3,20.5,,
iot_node,IoT Sensing,Fixed,10,327.2,18.7,,
iot_node,IoT Sensing,LR,1,309.0,19.0,,
iot_node,IoT Sensing,LR,2,309.2,19.8,,
iot_node,IoT Sensing,LR,3,313.0,19.2,,
iot_node,IoT Sensing,LR,4,293.5,18.1,,
iot_node,IoT Sensing,LR,5,306.8,18.0,,
iot_node,IoT Sensing,LR,6,303.6,18.4,,
iot_node,IoT Sensing,LR,7,310.1,17.9,,
iot_node,IoT Sensing,LR,8,295.8,17.3,,
iot_node,IoT Sensing,LR,9,289.3,19.1,,
iot_node,IoT Sensing,LR,10,299.0,18.7,,
iot_node,IoT Sensing,UATimer,1,276.8,15.7,,
iot_node,IoT Sensing,UATimer,2,279.7,18.4,,
iot_node,IoT Sensing,UATimer,3,304.5,17.7,,
iot_node,IoT Sensing,UATimer,4,282.6,17.3,,
iot_node,IoT Sensing,UATimer,5,288.5,17.1,,
iot_node,IoT Sensing,UATimer,6,262.7,16.7,,
iot_node,IoT Sensing,UATimer,7,289.8,18.7,,
iot_node,IoT Sensing,UATimer,8,293.9,18.6,,
iot_node,IoT Sensing,UATimer,9,287.4,17.2,,
iot_node,IoT Sensing,UATimer,10,246.5,17.8,,
