platform,workload,policy,run,energy_mj,delay_ms,frame_drop_pct,jitter_ms
phone,Web Browsing,UATimer,7,763.2,43.9,,
phone,Web Browsing,UATimer,8,792.4,42.3,,
phone,Web Browsing,UATimer,9,706.0,47.3,,
phone,Web Browsing,UATimer,10,731.5,49.7,,
phone,Web Browsing,UATimer,11,715.0,42.8,,
phone,Web Browsing,UATimer,12,785.7,44.2,,
phone,Web Browsing,UATimer,13,740.9,44.7,,
phone,Web Browsing,UATimer,14,782.0,47.9,,
phone,Web Browsing,UATimer,15,751.9,40.9,,
phone,Web Browsing,UATimer,16,730.8,46.5,,
phone,Web Browsing,UATimer,17,762.1,44.0,,
phone,Web Browsing,UATimer,18,789.0,42.6,,
phone,Web Browsing,UATimer,19,709.6,47.1,,
phone,Web Browsing,UATimer,20,732.9,49.5,,
phone,Video Playback,Baseline,1,1835.5,23.9,,
phone,Video Playback,Baseline,2,1795.6,23.4,,
phone,Video Playback,Baseline,3,1731.7,25.6,,
phone,Video Playback,Baseline,4,1866.4,26.4,,
phone,Video Playback,Baseline,5,1771.2,26.9,,
phone,Video Playback,Baseline,6,1801.2,26.7,,
phone,Video Playback,Baseline,7,1791.6,23.9,,
phone,Video Playback,Baseline,8,1841.7,26.1,,
phone,Video Playback,Baseline,9,1836.2,24.1,,
phone,Video Playback,Baseline,10,1728.9,23.0,,
phone,Video Playback,Baseline,11,1832.5,24.0,,
phone,Video Playback,Baseline,12,1795.9,23.5,,
phone,Video Playback,Baseline,13,1737.2,25.5,,
phone,Video Playback,Baseline,14,1861.1,26.3,,
phone,Video Playback,Baseline,15,1773.6,26.8,,
phone,Video Playback,Baseline,16,1801.0,26.6,,
phone,Video Playback,Baseline,17,1792.2,23.9,,
phone,Video Playback,Baseline,18,1838.4,26.0,,
phone,Video Playback,Baseline,19,1833.4,24.2,,
phone,Video Playback,Baseline,20,1734.7,23.2,,
phone,Video Playback,Fixed,1,1524.1,43.7,,
phone,Video Playback,Fixed,2,1485.9,39.6,,
phone,Video Playback,Fixed,3,1548.2,39.2,,
phone,Video Playback,Fixed,4,1455.8,43.0,,
phone,Video Playback,Fixed,5,1366.3,42.6,,
phone,Video Playback,Fixed,6,1460.1,41.9,,
phone,Video Playback,Fixed,7,1491.1,42.1,,
phone,Video Playback,Fixed,8,1537.8,40.3,,
phone,Video Playback,Fixed,9,1581.8,43.3,,
phone,Video Playback,Fixed,10,1548.9,44.1,,
phone,Video Playback,Fixed,11,1522.0,43.6,,
phone,Video Playback,Fixed,12,1486.9,39.8,,
phone,Video Playback,Fixed,13,1544.4,39.4,,
phone,Video Playback,Fixed,14,1459.5,42.9,,
phone,Video Playback,Fixed,15,1377.2,42.6,,
phone,Video Playback,Fixed,16,1463.1,41.9,,
phone,Video Playback,Fixed,17,1491.7,42.1,,
phone,Video Playback,Fixed,18,1534.7,40.4,,
phone,Video Playback,Fixed,19,1575.4,43.2,,
phone,Video Playback,Fixed,20,1545.1,44.3,,
phone,Video Playback,LR,1,1436.0,42.0,,
phone,Video Playback,LR,2,1398.8,37.7,,
phone,Video Playback,LR,3,1388.5,39.0,,
phone,Video Playback,LR,4,1320.1,41.0,,
phone,Video Playback,LR,5,1367.3,38.6,,
phone,Video Playback,LR,6,1337.2,40.9,,
phone,Video Playback,LR,7,1414.1,42.9,,
phone,Video Playback,LR,8,1395.0,42.4,,
phone,Video Playback,LR,9,1472.6,42.7,,
phone,Video Playback,LR,10,1270.3,42.8,,
phone,Video Playback,LR,11,1431.4,41.9,,
phone,Video Playback,LR,12,1397.2,38.0,,
phone,Video Playback,LR,13,1387.8,39.2,,
phone,Video Playback,LR,14,1325.0,41.0,,
phone,Video Playback,LR,15,1368.5,38.8,,
phone,Video Playback,LR,16,1340.5,40.9,,
phone,Video Playback,LR,17,1411.2,42.7,,
phone,Video Playback,LR,18,1393.8,42.3,,
phone,Video Playback,LR,19,1465.3,42.5,,
phone,Video Playback,LR,20,1279.4,42.7,,
phone,Video Playback,UATimer,1,1385.8,41.2,,
phone,Video Playback,UATimer,2,1388.2,41.2,,
phone,Video Playback,UATimer,3,1386.3,39.9,,
phone,Video Playback,UATimer,4,1270.4,40.4,,
phone,Video Playback,UATimer,5,1328.9,42.6,,
phone,Video Playback,UATimer,6,1352.7,40.6,,
phone,Video Playback,UATimer,7,1324.0,39.6,,
phone,Video Playback,UATimer,8,1368.9,37.9,,
phone,Video Playback,UATimer,9,1386.1,40.4,,
phone,Video Playback,UATimer,10,1308.8,36.3,,
phone,Video Playback,UATimer,11,1382.8,41.1,,
phone,Video Playback,UATimer,12,1385.1,41.1,,
phone,Video Playback,UATimer,13,1383.4,39.9,,
phone,Video Playback,UATimer,14,1276.8,40.4,,
phone,Video Playback,UATimer,15,1330.7,42.4,,
phone,Video Playback,UATimer,16,1352.4,40.6,,
phone,Video Playback,UATimer,17,1326.0,39.6,,
phone,Video Playback,UATimer,18,1367.4,38.1,,
phone,Video Playback,UATimer,19,1383.2,40.4,,
phone,Video Playback,UATimer,20,1312.1,36.3,,
phone,AI Inference,Baseline,1,2217.0,27.6,,
phone,AI Inference,Baseline,2,2127.4,27.7,,
phone,AI Inference,Baseline,3,2335.9,27.9,,
phone,AI Inference,Baseline,4,2185.7,25.9,,
phone,AI Inference,Baseline,5,2325.2,29.3,,
phone,AI Inference,Baseline,6,2265.8,28.1,,
phone,AI Inference,Baseline,7,2254.7,28.5,,
phone,AI Inference,Baseline,8,2230.1,27.8,,
phone,AI Inference,Baseline,9,2048.4,29.4,,
phone,AI Inference,Baseline,10,2009.9,27.7,,
phone,AI Inference,Baseline,11,2215.3,27.6,,
phone,AI Inference,Baseline,12,2133.0,27.7,,
phone,AI Inference,Baseline,13,2325.0,27.9,,
phone,AI Inference,Baseline,14,2187.0,26.1,,
phone,AI Inference,Baseline,15,2315.5,29.2,,
phone,AI Inference,Baseline,16,2260.2,28.1,,
phone,AI Inference,Baseline,17,2250.1,28.5,,
phone,AI Inference,Baseline,18,2227.6,27.8,,
phone,AI Inference,Baseline,19,2060.7,29.3,,
phone,AI Inference,Baseline,20,2025.5,27.9,,
phone,AI Inference,Fixed,1,1904.8,37.5,,
phone,AI Inference,Fixed,2,1965.0,39.4,,
phone,AI Inference,Fixed,3,1890.5,41.1,,
phone,AI Inference,Fixed,4,1888.8,43.0,,
phone,AI Inference,Fixed,5,1949.8,38.9,,
phone,AI Inference,Fixed,6,1779.3,36.9,,
phone,AI Inference,Fixed,7,1999.2,39.7,,
phone,AI Inference,Fixed,8,1901.6,43.6,,
phone,AI Inference,Fixed,9,1830.6,38.6,,
phone,AI Inference,Fixed,10,1890.3,41.3,,
phone,AI Inference,Fixed,11,1904.2,37.7,,
phone,AI Inference,Fixed,12,1959.7,39.5,,
phone,AI Inference,Fixed,13,1891.3,41.0,,
phone,AI Inference,Fixed,14,1889.8,42.8,,
phone,AI Inference,Fixed,15,1946.0,39.0,,
phone,AI Inference,Fixed,16,1788.8,37.1,,
phone,AI Inference,Fixed,17,1991.2,39.8,,
phone,AI Inference,Fixed,18,1901.5,43.3,,
phone,AI Inference,Fixed,19,1836.3,38.7,,
phone,AI Inference,Fixed,20,1891.3,41.1,,
phone,AI Inference,LR,1,1757.6,36.4,,
phone,AI Inference,LR,2,1696.3,39.3,,
phone,AI Inference,LR,3,1856.2,36.8,,
phone,AI Inference,LR,4,1814.7,35.2,,
phone,AI Inference,LR,5,1773.6,40.8,,
phone,AI Inference,LR,6,1810.4,42.6,,
phone,AI Inference,LR,7,1750.2,39.0,,
phone,AI Inference,LR,8,1790.1,39.0,,
phone,AI Inference,LR,9,1803.4,36.7,,
phone,AI Inference,LR,10,1747.4,44.3,,
phone,AI Inference,LR,11,1759.2,36.6,,
phone,AI Inference,LR,12,1702.9,39.2,,
phone,AI Inference,LR,13,1850.2,37.0,,
phone,AI Inference,LR,14,1812.0,35.5,,
phone,AI Inference,LR,15,1774.3,40.7,,
phone,AI Inference,LR,16,1807.8,42.3,,
phone,AI Inference,LR,17,1752.5,39.0,,
phone,AI Inference,LR,18,1789.3,39.0,,
phone,AI Inference,LR,19,1801.6,36.9,,
phone,AI Inference,LR,20,1750.3,43.7,,
phone,AI Inference,UATimer,1,1782.6,34.7,,
phone,AI Inference,UATimer,2,1747.4,40.2,,
phone,AI Inference,UATimer,3,1758.5,41.7,,
phone,AI Inference,UATimer,4,1856.6,38.6,,
phone,AI Inference,UATimer,5,1763.4,37.0,,
phone,AI Inference,UATimer,6,1742.6,35.8,,
phone,AI Inference,UATimer,7,1866.5,42.0,,
phone,AI Inference,UATimer,8,1709.9,36.5,,
phone,AI Inference,UATimer,9,1678.6,36.9,,
phone,AI Inference,UATimer,10,1594.1,36.7,,
phone,AI Inference,UATimer,11,1779.7,34.9,,
phone,AI Inference,UATimer,12,1747.5,40.0,,
phone,AI Inference,UATimer,13,1757.8,41.4,,
phone,AI Inference,UATimer,14,1848.1,38.6,,
phone,AI Inference,UATimer,15,1762.6,37.1,,
phone,AI Inference,UATimer,16,1742.9,35.9,,
phone,AI Inference,UATimer,17,1857.0,41.7,,
phone,AI Inference,UATimer,18,1713.1,36.6,,
phone,AI Inference,UATimer,19,1684.4,37.0,,
phone,AI Inference,UATimer,20,1606.7,36.7,,
phone,AR/VR Gaming,Baseline,1,2623.2,20.1,2.71,2.62
phone,AR/VR Gaming,Baseline,2,2671.5,20.6,2.41,3.55
phone,AR/VR Gaming,Baseline,3,2465.0,19.2,2.56,2.78
phone,AR/VR Gaming,Baseline,4,2606.0,19.6,2.72,3.05
phone,AR/VR Gaming,Baseline,5,2434.5,20.7,2.32,3.50
phone,AR/VR Gaming,Baseline,6,2423.1,19.9,2.23,2.67
phone,AR/VR Gaming,Baseline,7,2494.8,21.2,2.36,2.72
phone,AR/VR Gaming,Baseline,8,2355.8,19.6,3.20,3.10
phone,AR/VR Gaming,Baseline,9,2421.3,19.2,2.28,2.78
phone,AR/VR Gaming,Baseline,10,2504.8,19.8,2.21,3.23
phone,AR/VR Gaming,Baseline,11,2613.0,20.1,2.69,2.65
phone,AR/VR Gaming,Baseline,12,2657.7,20.6,2.41,3.51
phone,AR/VR Gaming,Baseline,13,2467.8,19.3,2.56,2.79
phone,AR/VR Gaming,Baseline,14,2597.6,19.6,2.70,3.05
phone,AR/VR Gaming,Baseline,15,2440.1,20.6,2.33,3.46
phone,AR/VR Gaming,Baseline,16,2428.9,19.9,2.25,2.70
phone,AR/VR Gaming,Baseline,17,2495.1,21.1,2.37,2.74
phone,AR/VR Gaming,Baseline,18,2367.3,19.7,3.15,3.09
phone,AR/VR Gaming,Baseline,19,2427.7,19.2,2.30,2.80
phone,AR/VR Gaming,Baseline,20,2504.8,20.0,2.24,3.21
phone,AR/VR Gaming,Fixed,1,2140.0,29.2,3.26,3.49
phone,AR/VR Gaming,Fixed,2,1864.1,30.0,3.00,3.34
phone,AR/VR Gaming,Fixed,3,2054.3,31.0,2.97,3.19
phone,AR/VR Gaming,Fixed,4,2161.2,31.0,3.03,3.90
phone,AR/VR Gaming,Fixed,5,2086.7,30.3,2.95,4.00
phone,AR/VR Gaming,Fixed,6,2201.7,30.8,3.51,2.36
phone,AR/VR Gaming,Fixed,7,2126.3,29.8,3.29,3.47
phone,AR/VR Gaming,Fixed,8,2111.3,30.5,3.26,3.53
phone,AR/VR Gaming,Fixed,9,2209.5,28.0,3.67,3.76
phone,AR/VR Gaming,Fixed,10,2044.6,29.3,3.06,3.95
phone,AR/VR Gaming,Fixed,11,2136.5,29.2,3.26,3.49
phone,AR/VR Gaming,Fixed,12,1882.9,30.0,3.01,3.35
phone,AR/VR Gaming,Fixed,13,2058.0,30.9,2.99,3.22
phone,AR/VR Gaming,Fixed,14,2156.5,30.9,3.05,3.87
phone,AR/VR Gaming,Fixed,15,2088.1,30.3,2.97,3.96
phone,AR/VR Gaming,Fixed,16,2193.3,30.7,3.49,2.45
phone,AR/VR Gaming,Fixed,17,2124.1,29.8,3.28,3.47
phone,AR/VR Gaming,Fixed,18,2110.4,30.5,3.26,3.53
phone,AR/VR Gaming,Fixed,19,2200.9,28.2,3.64,3.74
phone,AR/VR Gaming,Fixed,20,2049.6,29.6,3.05,3.93
phone,AR/VR Gaming,LR,1,1859.0,28.7,1.54,2.78
phone,AR/VR Gaming,LR,2,1905.9,29.3,1.82,2.60
phone,AR/VR Gaming,LR,3,1840.3,29.1,1.79,2.30
phone,AR/VR Gaming,LR,4,1884.6,29.2,1.81,2.63
phone,AR/VR Gaming,LR,5,1861.4,27.9,1.96,2.26
phone,AR/VR Gaming,LR,6,1755.0,29.9,2.00,2.78
phone,AR/VR Gaming,LR,7,1815.5,27.4,1.71,2.69
phone,AR/VR Gaming,LR,8,1962.0,30.4,1.46,3.26
phone,AR/VR Gaming,LR,9,1806.7,28.2,2.02,2.71
phone,AR/VR Gaming,LR,10,1809.8,29.8,1.90,2.99
phone,AR/VR Gaming,LR,11,1858.1,28.7,1.56,2.77
phone,AR/VR Gaming,LR,12,1901.3,29.3,1.82,2.61
phone,AR/VR Gaming,LR,13,1841.0,29.1,1.79,2.33
phone,AR/VR Gaming,LR,14,1881.9,29.2,1.81,2.63
phone,AR/VR Gaming,LR,15,1860.6,28.0,1.95,2.30
phone,AR/VR Gaming,LR,16,1762.5,29.8,1.98,2.77
phone,AR/VR Gaming,LR,17,1818.1,27.5,1.72,2.69
phone,AR/VR Gaming,LR,18,1953.0,30.3,1.49,3.22
phone,AR/VR Gaming,LR,19,1810.2,28.3,2.00,2.71
phone,AR/VR Gaming,LR,20,1813.1,29.9,1.87,2.97
phone,AR/VR Gaming,UATimer,1,1717.1,30.7,0.54,1.16
phone,AR/VR Gaming,UATimer,2,1759.1,26.5,0.51,1.14
phone,AR/VR Gaming,UATimer,3,1764.5,29.1,0.52,1.17
phone,AR/VR Gaming,UATimer,4,1875.3,29.9,0.45,1.15
phone,AR/VR Gaming,UATimer,5,1891.9,29.0,0.51,1.36
phone,AR/VR Gaming,UATimer,6,1738.1,25.7,0.45,1.22
phone,AR/VR Gaming,UATimer,7,1760.8,27.2,0.45,1.15
phone,AR/VR Gaming,UATimer,8,1747.0,28.4,0.54,1.16
phone,AR/VR Gaming,UATimer,9,1806.6,27.1,0.53,1.23
phone,AR/VR Gaming,UATimer,10,1939.5,26.4,0.52,1.27
phone,AR/VR Gaming,UATimer,11,1723.5,30.5,0.54,1.17
phone,AR/VR Gaming,UATimer,12,1762.3,26.6,0.50,1.14
phone,AR/VR Gaming,UATimer,13,1767.3,29.0,0.51,1.17
phone,AR/VR Gaming,UATimer,14,1869.4,29.8,0.45,1.15
phone,AR/VR Gaming,UATimer,15,1884.8,28.9,0.51,1.35
phone,AR/VR Gaming,UATimer,16,1742.8,25.9,0.46,1.22
phone,AR/VR Gaming,UATimer,17,1763.8,27.2,0.45,1.15
phone,AR/VR Gaming,UATimer,18,1751.2,28.4,0.53,1.16
phone,AR/VR Gaming,UATimer,19,1806.2,27.2,0.52,1.23
phone,AR/VR Gaming,UATimer,20,1928.8,26.5,0.51,1.25
iot_node,IoT Sensing,Baseline,1,401.9,12.1,,
iot_node,IoT Sensing,Baseline,2,384.9,13.0,,
iot_node,IoT Sensing,Baseline,3,386.7,12.3,,
iot_node,IoT Sensing,Baseline,4,390.5,12.5,,
iot_node,IoT Sensing,Baseline,5,402.4,11.9,,
iot_node,IoT Sensing,Baseline,6,408.6,12.4,,
iot_node,IoT Sensing,Baseline,7,402.8,9.9,,
iot_node,IoT Sensing,Baseline,8,396.0,11.8,,
iot_node,IoT Sensing,Baseline,9,401.4,12.3,,
iot_node,IoT Sensing,Baseline,10,424.8,11.7,,
iot_node,IoT Sensing,Baseline,11,401.7,12.1,,
iot_node,IoT Sensing,Baseline,12,386.1,13.0,,
iot_node,IoT Sensing,Baseline,13,387.7,12.3,,
iot_node,IoT Sensing,Baseline,14,391.3,12.4,,
iot_node,IoT Sensing,Baseline,15,402.2,11.9,,
iot_node,IoT Sensing,Baseline,16,407.9,12.4,,
iot_node,IoT Sensing,Baseline,17,402.6,10.1,,
iot_node,IoT Sensing,Baseline,18,396.3,11.9,,
iot_node,IoT Sensing,Baseline,19,401.3,12.2,,
iot_node,IoT Sensing,Baseline,20,422.9,11.8,,
iot_node,IoT Sensing,Fixed,1,296.1,19.2,,
iot_node,IoT Sensing,Fixed,2,330.1,17.6,,
iot_node,IoT Sensing,Fixed,3,344.0,17.6,,
iot_node,IoT Sensing,Fixed,4,301.7,17.8,,
iot_node,IoT Sensing,Fixed,5,331.1,17.0,,
iot_node,IoT Sensing,Fixed,6,341.2,17.0,,
iot_node,IoT Sensing,Fixed,7,328.4,18.4,,
iot_node,IoT Sensing,Fixed,8,314.3,18.9,,
iot_node,IoT Sensing,Fixed,9,296.9,19.2,,
iot_node,IoT Sensing,Fixed,10,316.2,17.4,,
iot_node,IoT Sensing,Fixed,11,298.0,19.1,,
iot_node,IoT Sensing,Fixed,12,329.3,17.6,,
iot_node,IoT Sensing,Fixed,13,342.1,17.6,,
iot_node,IoT Sensing,Fixed,14,303.2,17.8,,
iot_node,IoT Sensing,Fixed,15,330.2,17.1,,
iot_node,IoT Sensing,Fixed,16,339.5,17.0,,
iot_node,IoT Sensing,Fixed,17,327.7,18.3,,
iot_node,IoT Sensing,Fixed,18,314.7,18.8,,
iot_node,IoT Sensing,Fixed,19,298.8,19.1,,
iot_node,IoT Sensing,Fixed,20,316.5,17.5,,
iot_node,IoT Sensing,LR,1,305.8,17.4,,
iot_node,IoT Sensing,LR,2,306.1,18.2,,
iot_node,IoT Sensing,LR,3,310.1,17.6,,
iot_node,IoT Sensing,LR,4,290.7,16.6,,
iot_node,IoT Sensing,LR,5,304.2,16.5,,
iot_node,IoT Sensing,LR,6,300.4,16.8,,
iot_node,IoT Sensing,LR,7,307.0,16.3,,
iot_node,IoT Sensing,LR,8,292.9,15.8,,
iot_node,IoT Sensing,LR,9,286.5,17.6,,
iot_node,IoT Sensing,LR,10,296.4,17.2,,
iot_node,IoT Sensing,LR,11,305.3,17.4,,
iot_node,IoT Sensing,LR,12,305.6,18.1,,
iot_node,IoT Sensing,LR,13,309.3,17.6,,
iot_node,IoT Sensing,LR,14,291.5,16.6,,
iot_node,IoT Sensing,LR,15,303.9,16.5,,
iot_node,IoT Sensing,LR,16,300.3,16.8,,
iot_node,IoT Sensing,LR,17,306.4,16.4,,
iot_node,IoT Sensing,LR,18,293.4,15.8,,
iot_node,IoT Sensing,LR,19,287.6,17.5,,
iot_node,IoT Sensing,LR,20,296.6,17.3,,
iot_node,IoT Sensing,UATimer,1,284.9,15.1,,
iot_node,IoT Sensing,UATimer,2,288.1,17.9,,
iot_node,IoT Sensing,UATimer,3,313.3,17.2,,
iot_node,IoT Sensing,UATimer,4,291.7,16.8,,
iot_node,IoT Sensing,UATimer,5,297.9,16.6,,
iot_node,IoT Sensing,UATimer,6,270.8,16.1,,
iot_node,IoT Sensing,UATimer,7,298.2,18.2,,
iot_node,IoT Sensing,UATimer,8,302.7,18.1,,
iot_node,IoT Sensing,UATimer,9,296.5,16.7,,
iot_node,IoT Sensing,UATimer,10,255.9,17.3,,
iot_node,IoT Sensing,UATimer,11,285.3,15.3,,
iot_node,IoT Sensing,UATimer,12,288.3,17.8,,
iot_node,IoT Sensing,UATimer,13,311.4,17.2,,
iot_node,IoT Sensing,UATimer,14,291.6,16.8,,
iot_node,IoT Sensing,UATimer,15,297.3,16.6,,
iot_node,IoT Sensing,UATimer,16,272.3,16.2,,
iot_node,IoT Sensing,UATimer,17,297.6,18.1,,
iot_node,IoT Sensing,UATimer,18,301.6,18.0,,
iot_node,IoT Sensing,UATimer,19,296.0,16.7,,
iot_node,IoT Sensing,UATimer,20,258.6,17.3,,
